ISIN,Name,Sector,Industry,Weight
US02079K1079,ALPHABET INC,Communication Services,Interactive Media & Services,0.093552513
US30303M1027,META PLATFORMS INC,Communication Services,Interactive Media & Services,0.032070327
US92343V1044,VERIZON COMMUNICATIONS INC,Communication Services,Diversified Telecommunication Services,0.014862532
US0231351067,AMAZON.COM INC,Consumer Discretionary,Internet & Direct Marketing Retail,0.076804782
US88160R1014,TESLA INC,Consumer Discretionary,Automobiles,0.045303099
US4370761029,HOME DEPOT INC,Consumer Discretionary,Specialty Retail,0.022127212
US7427181091,PROCTER & GAMBLE CO,Consumer Staples,Household Products,0.025047133
US1912161007,COCA-COLA CO,Consumer Staples,Beverages,0.018203038
US7134481081,PEPSICO INC,Consumer Staples,Beverages,0.016233729
US30231G1022,EXXON MOBIL CORPORATION,Energy,Oil Gas & Consumable Fuels,0.028445936
US1667641005,CHEVRON CORP,Energy,Oil Gas & Consumable Fuels,0.023565264
US20825C1045,CONOCOPHILLIPS,Energy,Oil Gas & Consumable Fuels,0.010372456
US0846707026,BERKSHIRE HATHAWAY INC,Financials,Diversified Financial Services,0.028827398
US46625H1005,JPMORGAN CHASE & CO,Financials,Banks,0.027350745
US0605051046,BANK OF AMERICA CORPORATION,Financials,Banks,0.01917777
US4781601046,JOHNSON & JOHNSON,Health Care,Pharmaceuticals,0.033079884
US91324P1021,UNITEDHEALTH GROUP INC,Health Care,Health Care Providers & Services,0.032748318
US7170811035,PFIZER INC,Health Care,Pharmaceuticals,0.02083679
US75513E1010,RAYTHEON TECHNOLOGIES CORP,Industrials,Aerospace & Defense,0.009964872
US9078181081,UNION PACIFIC CORP,Industrials,Road & Rail,0.009889122
US4385161066,HONEYWELL INTERNATIONAL INC,Industrials,Industrial Conglomerates,0.00932928
US0378331005,APPLE INC,Information Technology,Technology Hardware Storage & Peripherals,0.170913138
US5949181045,MICROSOFT CORP,Information Technology,Software,0.135722108
US67066G1040,NVIDIA CORP,Information Technology,Semiconductors & Semiconductor Equipment,0.032671827
IE00BZ12WP82,LINDE PLC,Materials,Chemicals,0.011647651
US8243481061,SHERWIN-WILLIAMS CO,Materials,Chemicals,0.004672961
US35671D8570,FREEPORT-MCMORAN INC,Materials,Metals & Mining,0.004016643
US03027X1000,AMERICAN TOWER CORP,Real Estate,Equity Real Estate Investment Trusts (REITs),0.008164115
US74340W1036,PROLOGIS INC,Real Estate,Equity Real Estate Investment Trusts (REITs),0.006596616
US22822V1017,CROWN CASTLE INTERNATIONAL CORP,Real Estate,Equity Real Estate Investment Trusts (REITs),0.005736981
US65339F1012,NEXTERA ENERGY INC,Utilities,Electric Utilities,0.010394663
US26441C2044,DUKE ENERGY CORP,Utilities,Electric Utilities,0.006058882
US8425871071,SOUTHERN CO,Utilities,Electric Utilities,0.005612217
